Name,Description,Style Name,Collection,Fabric Color,Finish Color,Color,Multi Color,Item Cubes,Group Number,Group Name,Kit,Price,Warehouse,Stock,UPC,Wood Finish,Fabric Cleaning Code ,Category,Sub Category,Promotion,Featured,Catalog Intro,Room Name,Type Of Packaging,Country of Origin,Material,Chemical List,Assembly Required,Box Length,Box Width,Box Height,Box Weight,Item Description,Length,Width,Depth,Height,Diameter,Depth Open,Height Open,Seat Width,Seat Depth,Seat Height,Arm Height,Desk Clearance,Shelf Distance
Arya Black Velvet Queen Bed,Arya Black Velvet Queen Bed,Casual,Arya,,,Black,0,21,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,412,Data,,0,12,12,12,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya White Velvet King Bed,Arya White Velvet King Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,0,0,0,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya Pink Velvet Twin Bed,Arya Pink Velvet Twin Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,0,0,0,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya Grey Velvet Twin Bed,Arya Grey Velvet Twin Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,0,0,0,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya Navy Velvet King Bed,Arya Navy Velvet King Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,1,1,1,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya Pink Velvet King Bed,Arya Pink Velvet King Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,1,1,1,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya Green Velvet Twin Bed,Arya Green Velvet Twin Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,1,1,1,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya Grey Velvet King Bed,Arya Grey Velvet King Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,1,1,1,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya Black Velvet Full Bed,Arya Black Velvet Full Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,12,12,12,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya Black Velvet Twin Bed,Arya Black Velvet Twin Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,1,1,1,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya Green Velvet King Bed,Arya Green Velvet King Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,1,1,1,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya White Velvet Queen Bed,Arya White Velvet Queen Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,1,1,1,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya Black Velvet King Bed,Arya Black Velvet King Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,1,1,1,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya Pink Velvet Queen Bed,Arya Pink Velvet Queen Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,1,1,1,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya White Velvet Full Bed,Arya White Velvet Full Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,1,1,1,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya Pink Velvet Full Bed,Arya Pink Velvet Full Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,1,1,1,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya Navy Velvet Queen Bed,Arya Navy Velvet Queen Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,1,1,1,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya Navy Velvet Full Bed,Arya Navy Velvet Full Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,cbxcb,1,Data,,0,22,21,12,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya Grey Velvet Queen Bed,Arya Grey Velvet Queen Bed,Casual,Arya,,Orange,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,1,1,1,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya Grey Velvet Full Bed,Arya Grey Velvet Full Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,,,,1,Data,,0,1,1,1,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya Green Velvet Full Bed,Arya Green Velvet Full Bed,Casual,Arya,,,Black,0,1,,,,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,Catalog,,,1,Data,,0,1,1,1,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya Green Velvet Queen Bed,Arya Green Velvet Queen Bed,Casual,Arya,White,,Black,0,1,,,dcgfg,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,Catalog,,,1,Data,,0,1,1,1,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo IV,Apollo IV,Casual,Apollo,,,Black,0,345,35253,dfghfgh,xzcvxcv,12,premierclubfurniture,1,,,,Bed,Full Bed,0,0,Catalog,Room,,,Data,,0,111,111,111,1,Description,0,0,0,0,0,0,0,0,0,0,0,0,0
